,Unnamed: 0,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Category,Distance_km
85,95,36,4.7,0,23,23,Sandstorms,Low,van,Metropolitian ,Clothing,13.773737657079298
86,96,33,4.7,4,23,23,Fog,Low,motorcycle,Metropolitian ,Snacks,7.790158927084966
87,97,36,4.4,6,12,12,Cloudy,High,scooter,Metropolitian ,Skincare,6.217834398578936
88,98,21,4.8,4,23,23,Windy,Low,motorcycle,Metropolitian ,Sports,16.852834881460105
89,99,25,4.8,5,23,0,Cloudy,Low,scooter,Urban ,Grocery,4.610035602260694
90,100,23,4.8,2,22,23,Windy,Low,motorcycle,Metropolitian ,Electronics,19.879870677373706
91,101,25,4.6,1,10,10,Stormy,Low,motorcycle,Urban ,Books,1.5580833985948437
92,102,24,4.3,1,8,9,Sandstorms,Low,motorcycle,Urban ,Apparel,3.025332706173566
93,103,27,4.6,4,21,21,Sandstorms,Jam,motorcycle,Metropolitian ,Apparel,13.97194896017493
94,104,23,4.8,4,22,22,Cloudy,Low,scooter,Urban ,Jewelry,16.830905551931956
95,105,21,4.3,2,20,20,Fog,Jam,scooter,Metropolitian ,Books,20.207797933358158
96,106,27,4.7,1,10,11,Sandstorms,Low,scooter,Urban ,Sports,3.040641621538495
97,107,32,4.2,1,20,20,Cloudy,Jam,motorcycle,Metropolitian ,Skincare,20.253785359470783
98,108,25,4.6,3,23,23,Sunny,Low,motorcycle,Metropolitian ,Outdoors,16.72129600980331
99,109,39,4.7,4,10,10,Cloudy,Low,scooter,Metropolitian ,Books,2.9845507897866907
100,110,27,4.6,0,23,23,Sunny,Low,motorcycle,Metropolitian ,Shoes,12.16145053143676
101,111,39,3.8,2,19,20,Windy,Jam,motorcycle,Metropolitian ,Books,16.822155609317257
102,112,31,4.8,1,22,22,Sandstorms,Low,scooter,Metropolitian ,Sports,7.762556904358444
103,113,31,4.8,1,23,23,Sunny,Low,van,Metropolitian ,Kitchen,9.055855161965923
104,114,20,4.8,2,9,9,Cloudy,Low,motorcycle,Other,Sports,1.5545816630911855
105,115,36,4.9,2,18,18,Cloudy,Medium,motorcycle,Urban ,Cosmetics,12.074047498027575
106,116,20,4.9,6,22,22,Sandstorms,Low,motorcycle,Metropolitian ,Toys,13.580373876280879
107,117,24,4.6,6,20,21,Cloudy,Jam,motorcycle,Metropolitian ,Jewelry,4.469620875558295
108,118,39,4.2,1,18,18,Fog,Medium,scooter,Metropolitian ,Clothing,16.634870118211836
109,119,37,4.8,3,14,15,Sunny,High,scooter,Metropolitian ,Shoes,6.232139486668102
110,120,32,4.9,3,16,17,Sandstorms,Medium,motorcycle,Metropolitian ,Books,6.209021101535612
111,121,22,4.5,1,22,22,Sandstorms,Low,scooter,Metropolitian ,Skincare,7.460830127736633
112,122,23,4.9,4,0,0,Windy,Low,scooter,Metropolitian ,Clothing,20.253785359470783
113,123,33,4.7,1,21,21,Fog,Jam,scooter,Metropolitian ,Apparel,16.600975700594585
114,125,27,4.6,3,23,23,Sunny,Low,motorcycle,Metropolitian ,Pet Supplies,12.421212735966003
115,126,34,4.7,1,14,14,Sunny,High,scooter,Metropolitian ,Toys,6.1187118466897275
116,127,26,5.0,6,10,10,Fog,Low,scooter,Urban ,Sports,1.520431947999248
117,128,31,4.6,3,21,21,Cloudy,Jam,motorcycle,Metropolitian ,Snacks,9.087972744661085
118,129,32,4.9,0,8,8,Fog,Low,motorcycle,Metropolitian ,Books,3.0644871057616707
119,130,27,4.7,2,9,9,Cloudy,Low,motorcycle,Metropolitian ,Shoes,3.025144329113595
120,131,21,4.9,5,17,18,Windy,Medium,motorcycle,Metropolitian ,Pet Supplies,13.973206773137713
121,132,28,4.8,3,23,23,Fog,Low,motorcycle,Metropolitian ,Kitchen,7.763102784727143
122,134,33,4.4,5,8,8,Sandstorms,Low,motorcycle,Metropolitian ,Electronics,1.5368503798521727
123,135,20,4.6,4,20,20,Fog,Jam,motorcycle,Metropolitian ,Home,13.97317756157655
124,136,31,4.3,6,23,23,Windy,Low,motorcycle,Metropolitian ,Toys,9.348403522662325
125,137,36,5.0,3,19,20,Fog,Jam,motorcycle,Metropolitian ,Shoes,10.602467987619507
126,138,31,4.2,2,21,21,Sandstorms,Jam,motorcycle,Metropolitian ,Grocery,17.076258901183188
127,139,39,4.1,3,21,21,Stormy,Jam,scooter,Metropolitian ,Electronics,9.22083460710881
128,140,29,4.6,5,19,19,Sunny,Jam,van,Metropolitian ,Outdoors,12.161605446010208
129,141,29,4.6,3,14,15,Sandstorms,High,scooter,Urban ,Apparel,6.080882967594328
130,142,37,4.9,2,18,18,Fog,Medium,motorcycle,Metropolitian ,Books,4.67414369897644
131,144,31,3.9,4,23,23,Cloudy,Low,scooter,Metropolitian ,Pet Supplies,10.709003371535417
132,146,26,4.4,0,23,23,Sandstorms,Low,motorcycle,Other,Toys,9.31488473286169
133,147,24,4.6,4,17,18,Stormy,Medium,motorcycle,Metropolitian ,Clothing,17.137482577838597
134,150,39,4.8,4,12,12,Cloudy,High,motorcycle,Metropolitian ,Cosmetics,6.21800234869445
135,151,20,4.7,6,17,17,Sandstorms,Medium,motorcycle,Metropolitian ,Toys,12.463883024166657
136,152,20,5.0,3,19,19,Cloudy,Jam,motorcycle,Urban ,Sports,20.20658151050797
137,153,29,4.3,6,23,23,Sandstorms,Low,motorcycle,Metropolitian ,Cosmetics,9.081116432461174
138,154,36,4.8,1,18,18,Fog,Medium,motorcycle,Urban ,Snacks,17.138077427627866
139,155,36,4.0,2,20,20,Sunny,Jam,motorcycle,Metropolitian ,Skincare,13.631343698142908
140,156,22,4.8,0,22,22,Windy,Low,scooter,Metropolitian ,Cosmetics,12.074063090452917
141,157,38,4.4,3,17,17,Windy,Medium,motorcycle,Metropolitian ,Toys,10.723264172167632
142,158,39,4.9,3,19,20,Fog,Jam,motorcycle,Metropolitian ,Cosmetics,7.600994631258685
143,159,24,4.9,0,18,18,Stormy,Medium,scooter,Metropolitian ,Outdoors,7.562982485200135
144,161,35,4.8,4,17,17,Fog,Medium,motorcycle,Metropolitian ,Jewelry,13.829314445199353
145,162,33,4.5,4,23,0,Stormy,Low,van,Metropolitian ,Shoes,13.969116967730173
146,163,39,4.7,0,18,18,Windy,Medium,motorcycle,Urban ,Cosmetics,10.92326745824626
147,164,31,4.3,4,21,21,Windy,Jam,motorcycle,Metropolitian ,Outdoors,12.117036432265502
148,165,37,4.5,3,8,8,Windy,Low,scooter,Metropolitian ,Books,1.5525704156536744
149,166,37,4.7,4,22,22,Windy,Low,scooter,Metropolitian ,Grocery,4.663566689152146
150,167,33,5.0,5,11,11,Windy,High,motorcycle,Metropolitian ,Sports,1.5294972211332267
151,169,33,4.5,2,19,19,Sunny,Jam,scooter,Metropolitian ,Kitchen,11.916757259074618
152,170,39,4.7,2,18,19,Fog,Medium,motorcycle,Metropolitian ,Electronics,10.486117701549256
153,171,37,4.6,1,18,18,Cloudy,Medium,motorcycle,Metropolitian ,Outdoors,13.583078662317007
154,172,25,4.9,0,22,22,Sandstorms,Low,scooter,Metropolitian ,Jewelry,7.6831914051315
155,173,28,4.8,3,19,19,Fog,Medium,scooter,Urban ,Books,9.193093962702912
156,174,38,4.7,2,13,13,Windy,High,motorcycle,Metropolitian ,Cosmetics,6.2178836475581045
157,175,31,4.6,5,17,18,Windy,Medium,motorcycle,Metropolitian ,Skincare,9.326872529115304
158,176,25,4.8,1,19,20,Cloudy,Jam,motorcycle,Metropolitian ,Jewelry,9.179538450826048
159,177,35,4.9,2,21,21,Fog,Jam,motorcycle,Metropolitian ,Skincare,10.880651848535559
160,178,39,4.7,3,19,19,Fog,Jam,motorcycle,Metropolitian ,Home,10.565262855251525
161,179,38,3.9,6,19,19,Stormy,Jam,motorcycle,Metropolitian ,Kitchen,12.100062421152574
162,180,35,4.7,0,21,21,Fog,Jam,motorcycle,Metropolitian ,Snacks,4.657159718107683
163,181,29,4.7,1,9,10,Sandstorms,Low,motorcycle,Metropolitian ,Sports,2.9812178551917965
164,182,27,4.6,3,20,20,Stormy,Jam,scooter,Metropolitian ,Pet Supplies,4.56126563284071
165,183,38,4.3,0,21,21,Sandstorms,Jam,motorcycle,Semi-Urban ,Clothing,13.989916877275611
166,184,36,4.9,2,23,23,Windy,Low,motorcycle,Metropolitian ,Electronics,10.64228895373868
167,185,26,4.0,4,15,15,Cloudy,High,motorcycle,Metropolitian ,Snacks,6.147404652636645
168,186,26,4.1,5,19,19,Fog,Jam,motorcycle,Metropolitian ,Pet Supplies,13.428477357470895
169,187,36,4.9,1,17,17,Sunny,Medium,motorcycle,Metropolitian ,Cosmetics,9.32728515796102
170,188,21,4.7,3,9,9,Sunny,Low,motorcycle,Metropolitian ,Electronics,1.489792976782627
171,189,35,4.7,2,20,20,Sunny,Jam,van,Metropolitian ,Apparel,12.418394742110447
172,190,20,4.5,3,12,12,Fog,High,motorcycle,Metropolitian ,Kitchen,6.217860689144307
173,191,23,4.6,3,21,21,Fog,Jam,motorcycle,Metropolitian ,Home,13.787803344501583
174,192,37,5.0,3,19,20,Sunny,Jam,motorcycle,Metropolitian ,Sports,9.080187058763224
175,193,26,4.8,2,19,19,Sandstorms,Jam,motorcycle,Metropolitian ,Shoes,9.31544163550089
176,194,29,5.0,6,22,22,Sandstorms,Low,scooter,Urban ,Sports,12.161417162421785
177,195,26,4.9,4,17,17,Stormy,Medium,motorcycle,Metropolitian ,Apparel,16.636875038860897
178,196,29,4.8,4,19,19,Cloudy,Jam,motorcycle,Metropolitian ,Electronics,9.19295116708344
179,197,29,4.7,3,10,10,Sandstorms,Low,motorcycle,Metropolitian ,Snacks,3.0182264849996012
180,198,21,4.9,1,18,18,Windy,Medium,scooter,Metropolitian ,Electronics,4.395420246829376
181,199,22,4.3,0,10,10,Stormy,Low,motorcycle,Metropolitian ,Apparel,3.109059104393369
182,200,31,4.0,4,17,18,Fog,Medium,motorcycle,Metropolitian ,Kitchen,11.916582838288104
183,201,20,4.5,6,8,9,Fog,Low,motorcycle,Other,Apparel,3.116248509790061
184,202,30,3.9,2,19,20,Stormy,Jam,van,Metropolitian ,Apparel,12.116950608888414
185,203,36,4.8,6,17,18,Fog,Medium,motorcycle,Metropolitian ,Shoes,10.868263117988388
186,204,24,4.7,5,15,15,Fog,Medium,scooter,Metropolitian ,Cosmetics,6.218153086065015
187,205,32,4.7,0,9,9,Windy,Low,van,Metropolitian ,Jewelry,1.554424975889475
188,206,25,5.0,5,18,18,Windy,Medium,motorcycle,Metropolitian ,Clothing,9.313017158714828
189,207,27,4.5,0,15,15,Windy,Medium,scooter,Metropolitian ,Skincare,6.147106622705506
190,208,32,4.1,1,18,18,Sandstorms,Medium,motorcycle,Metropolitian ,Skincare,10.867300462045835
191,209,23,4.7,3,16,17,Fog,Medium,motorcycle,Urban ,Grocery,6.209259882041872
192,210,39,4.4,1,18,18,Sunny,Medium,motorcycle,Metropolitian ,Shoes,20.18085916835158
193,212,20,4.8,4,18,18,Windy,Medium,van,Other,Cosmetics,11.919755989352295
194,213,29,4.6,1,20,20,Stormy,Jam,scooter,Metropolitian ,Skincare,4.494291162003504
195,214,26,4.9,1,22,23,Stormy,Low,scooter,Metropolitian ,Snacks,20.85172635753384
196,215,25,5.0,6,10,11,Stormy,Low,motorcycle,Metropolitian ,Apparel,1.5605734793807475
197,216,34,4.7,6,16,16,Windy,Medium,motorcycle,Metropolitian ,Shoes,6.210589610314177
198,217,31,4.9,6,14,15,Sunny,High,motorcycle,Metropolitian ,Toys,6.17528357530834
199,219,30,4.9,5,19,19,Cloudy,Medium,motorcycle,Metropolitian ,Skincare,13.830084721845328
200,220,36,4.8,6,18,18,Sandstorms,Medium,motorcycle,Metropolitian ,Apparel,19.37374583495492
201,221,36,4.4,1,23,23,Fog,Low,motorcycle,Metropolitian ,Home,20.857115324129595
202,222,26,4.7,4,19,19,Cloudy,Jam,motorcycle,Metropolitian ,Apparel,20.851557402660557
203,223,30,4.6,6,23,23,Sunny,Low,scooter,Other,Apparel,16.659963190057415
204,225,33,4.7,2,18,18,Fog,Medium,van,Urban ,Books,7.76260023979039
205,226,34,4.0,5,21,21,Windy,Jam,motorcycle,Metropolitian ,Clothing,13.76685500858734
206,227,36,4.6,0,23,23,Windy,Low,motorcycle,Metropolitian ,Clothing,12.293677673573285
207,228,33,4.6,4,11,11,Fog,Low,motorcycle,Metropolitian ,Apparel,2.9846372692856606
208,229,22,4.8,4,22,23,Sandstorms,Low,motorcycle,Metropolitian ,Jewelry,16.78827586251448
209,230,38,4.7,5,11,11,Sunny,Low,scooter,Metropolitian ,Clothing,1.5320227740641719
210,231,27,4.9,2,23,23,Fog,Low,scooter,Metropolitian ,Kitchen,12.421407858787804
211,232,32,4.8,0,21,21,Sunny,Jam,scooter,Metropolitian ,Books,10.444776155165918
212,233,26,4.8,6,19,19,Cloudy,Jam,motorcycle,Metropolitian ,Home,12.42075005031367
213,234,29,4.5,4,22,23,Windy,Low,motorcycle,Urban ,Toys,19.659373527443684
214,235,31,4.5,2,20,20,Sunny,Jam,motorcycle,Urban ,Pet Supplies,12.46418980459368
215,236,28,4.6,5,12,12,Stormy,High,motorcycle,Metropolitian ,Outdoors,6.1462436583934315
216,237,21,4.8,4,18,19,Sunny,Medium,motorcycle,Metropolitian ,Toys,8.92908688893574
217,238,21,4.0,0,22,22,Sandstorms,Low,motorcycle,Metropolitian ,Clothing,7.79036212453358
218,240,29,4.7,4,15,15,Cloudy,Medium,motorcycle,Urban ,Shoes,5.992096714696517
219,241,20,4.8,0,11,11,Sunny,High,motorcycle,Metropolitian ,Sports,1.5297232853100244
220,242,28,5.0,2,22,22,Windy,Low,motorcycle,Urban ,Electronics,13.73594217639692
221,243,25,4.7,2,23,23,Sandstorms,Low,motorcycle,Metropolitian ,Grocery,10.705559922396555
222,244,38,4.8,0,10,10,Stormy,Low,motorcycle,Metropolitian ,Apparel,3.1048037532854496
223,245,39,4.9,3,22,22,Stormy,Low,motorcycle,Metropolitian ,Pet Supplies,4.610073053799191
224,246,26,4.9,6,17,17,Windy,Medium,scooter,Metropolitian ,Electronics,9.122100805601145
225,247,33,4.4,0,21,21,Windy,Jam,motorcycle,Urban ,Sports,10.906036622245484
226,248,24,4.6,1,18,18,Sandstorms,Medium,motorcycle,Urban ,Home,9.08801379933047
227,249,24,4.9,0,15,15,Fog,Medium,motorcycle,Metropolitian ,Sports,6.232303380306801
228,250,33,4.5,3,22,23,Stormy,Low,scooter,Metropolitian ,Snacks,13.611566722125085
229,251,35,4.2,6,19,19,Windy,Jam,motorcycle,Metropolitian ,Shoes,13.611428630407849
230,252,27,4.2,2,20,20,Stormy,Jam,motorcycle,Metropolitian ,Jewelry,13.763896210757977
231,253,29,4.5,6,18,18,Sunny,Medium,motorcycle,Metropolitian ,Electronics,4.657591594952301
232,254,34,4.7,5,23,23,Fog,Low,scooter,Metropolitian ,Skincare,19.34348721744278
233,255,20,4.7,4,11,11,Cloudy,High,scooter,Metropolitian ,Grocery,2.9845125598688362
234,256,29,4.8,1,13,13,Sunny,High,motorcycle,Metropolitian ,Shoes,6.058876303739157
235,257,22,4.9,1,18,18,Stormy,Medium,scooter,Metropolitian ,Kitchen,9.088084092164259
236,258,35,4.9,4,21,21,Cloudy,Jam,motorcycle,Metropolitian ,Grocery,10.41706579035871
237,259,32,4.4,5,21,21,Sandstorms,Jam,motorcycle,Metropolitian ,Kitchen,17.164833902684475
238,260,28,4.9,0,21,21,Sunny,Jam,motorcycle,Metropolitian ,Toys,16.11387241182587
239,261,30,4.7,2,22,22,Fog,Low,scooter,Metropolitian ,Home,20.253686339517458
240,262,22,4.7,0,20,20,Stormy,Jam,scooter,Urban ,Electronics,17.076258901183188
241,263,36,4.7,2,18,18,Fog,Medium,motorcycle,Metropolitian ,Home,7.79036212453358
242,264,23,4.8,5,20,20,Windy,Jam,motorcycle,Metropolitian ,Grocery,19.76218981785925
243,265,22,4.8,4,10,10,Stormy,Low,motorcycle,Other,Grocery,3.0250598092773755
244,266,29,4.5,4,22,22,Sandstorms,Low,motorcycle,Metropolitian ,Jewelry,19.8395614419349
245,267,34,4.9,2,21,22,Sandstorms,Jam,motorcycle,Urban ,Snacks,17.07559440107296
246,268,38,4.1,5,11,11,Stormy,High,motorcycle,Metropolitian ,Kitchen,1.5527001159059903
247,271,32,4.3,2,18,18,Cloudy,Medium,scooter,Metropolitian ,Cosmetics,10.280572823486576
248,272,20,4.5,2,20,20,Windy,Jam,motorcycle,Metropolitian ,Home,10.867300462045835
249,273,25,4.9,2,21,21,Fog,Jam,motorcycle,Metropolitian ,Skincare,12.417687564200063
250,274,29,4.5,1,22,22,Fog,Low,scooter,Other,Books,8.93786088183146
251,275,32,4.7,6,20,21,Sandstorms,Jam,scooter,Metropolitian ,Clothing,6047.919477618646
252,277,31,4.4,6,21,21,Stormy,Jam,motorcycle,Urban ,Books,16.660108123693192
253,278,37,4.5,4,23,23,Fog,Low,motorcycle,Urban ,Apparel,7.601385733164932
254,279,36,4.9,4,17,17,Cloudy,Medium,van,Metropolitian ,Apparel,13.183763612802814
255,280,37,3.8,0,20,20,Sandstorms,Jam,motorcycle,Metropolitian ,Cosmetics,20.856833724898493
256,281,38,4.9,2,13,13,Cloudy,High,scooter,Metropolitian ,Toys,6.232373004507649
257,282,37,4.4,4,22,22,Sandstorms,Jam,motorcycle,Metropolitian ,Cosmetics,11.90486548713048
258,283,21,4.9,6,23,23,Fog,Low,scooter,Other,Snacks,13.682164847733755
259,284,35,4.9,5,18,18,Fog,Medium,van,Metropolitian ,Toys,4.469362226704516
260,285,22,4.8,1,20,20,Sandstorms,Jam,scooter,Urban ,Electronics,13.40635545530559
261,286,28,4.8,1,8,8,Fog,Low,motorcycle,Metropolitian ,Home,3.073644027723396
262,287,39,4.0,4,17,17,Stormy,Medium,motorcycle,Metropolitian ,Jewelry,20.20658151050797
263,288,29,4.5,3,22,22,Windy,Low,scooter,Urban ,Home,12.419724873245404
264,289,39,4.6,2,11,11,Sandstorms,High,motorcycle,Metropolitian ,Pet Supplies,3.104803710518419
265,290,25,4.9,6,21,21,Sandstorms,Jam,van,Urban ,Kitchen,20.20631641648197
266,291,34,5.0,5,17,17,Cloudy,Medium,van,Urban ,Home,4.6741517745550425
267,292,22,4.8,5,9,9,Sunny,Low,motorcycle,Metropolitian ,Electronics,3.1053699758611546
268,293,27,5.0,2,20,21,Windy,Jam,motorcycle,Metropolitian ,Sports,10.444390862228435
269,294,28,4.5,5,17,17,Sunny,Medium,motorcycle,Urban ,Clothing,10.710903359654202
270,295,32,5.0,1,18,18,Stormy,Medium,scooter,Metropolitian ,Skincare,4.674393132741051
271,296,27,4.6,2,17,18,Sunny,Medium,motorcycle,Metropolitian ,Shoes,10.756697879102619
272,297,35,3.9,1,19,20,Windy,Jam,motorcycle,Metropolitian ,Toys,12.23656153955492
273,298,22,4.6,5,23,23,Windy,Low,motorcycle,Metropolitian ,Snacks,4.663658229921789
274,300,30,4.6,6,10,10,Cloudy,Low,motorcycle,Urban ,Cosmetics,1.5148048951935007
275,301,39,4.8,6,11,11,Fog,High,scooter,Urban ,Shoes,3.1089883297657854
